Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Roadside)",Roadside Manual,"A plan prepared by a construction contractor, as required in Standard Specification 1-07.15(1), to prevent sediment and other pollutants associated with construction activity from affecting soil, air, and water quality.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan",S
"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Roadside)",Roadside Manual,"A plan prepared by a construction contractor, as required in Standard Specification 1-07.15(1), to prevent sediment and other pollutants associated with construction activity from affecting soil, air, and water quality.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Utilities)",S
"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Utilities)",Utilities Manual,"A project-specific plan to prevent, control, and correct possible contamination from spills of “Hazardous Substances” as defined in RCW 70.105.010.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan",S
"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Utilities)",Utilities Manual,"A project-specific plan to prevent, control, and correct possible contamination from spills of “Hazardous Substances” as defined in RCW 70.105.010.",,,,,"Spill Prevention, Control, and Countermeasures (SPCC) Plan (Roadside)",S
spillway,Highway Runoff Manual,"A passage, such as a paved apron or channel carrying surplus water over or around a dam or similar obstruction, or an open or closed channel used to convey excess water from a reservoir. A spillway may contain gates, either manually or automatically controlled, to regulate the discharge of excess water.",,,,,,s
splash zone,Terminal Design Manual,"An area that is exposed to salt water spray, wash or heavy sea (salt) mist due to vessel landing, wave, wind or storm action.",,,,,,s
split tee,Desgin Manual,A four-leg intersection with the crossroad intersecting the through roadway at two tee intersections offset by at least the width of the roadway.,,,,,,s
TESC plan (Utilities),Utilities Manual,A formal plan designed for an individual project for erosion and sediment control.,,,,,TESC plan (Roadside),T
splitter island,Desgin Manual,"The raised island at each two-way leg between entering and exiting vehicles, designed primarily to control the entry and exit speeds by providing deflection. They also discourage wrong-way movements, and provide pedestrian refuge.",,,,,,s
Sprains and Strains,Safety Manual,"An injury classification that describes injuries to muscles, tendons, and ligaments. Sprains and strains are usually caused by overexertion to muscles, tendons, ligaments, and/or joints. Risk factors that can cause MSDs can sometimes also cause sprains/strains. The reduction of ergonomic risk factors in a job-task will usually also reduce the risk of sprains/strains.",,,,,,S
spraying,Desgin Manual,A procedure for applying marking material to a surface as a jet of fine liquid particles,,,,,,s
stabilized construction entrance,Highway Runoff Manual,"A construction site entrance that is reinforced or finished with media such as riprap, gravel, or hog fuel to minimize the tracking of sediment onto adjacent streets.",,,,,,s
staging area (construction),Highway Runoff Manual,"A site used temporarily during construction for materials or equipment storage, assembly, or other temporary construction activities.",,,,,,s
stairstep grading,Highway Runoff Manual,"A technique of grading slopes to minimize erosion, in which continuous slopes are replaced with a series of terraces.",,,,,,s
Standard,Prime Contractor Performance Report Manual,"The expected, acceptable quality of performance considered to meet the requirements of the project documents, plans, specifications, industry standards, and as otherwise prescribed herein. Unlike the other rating categories, standard performance has no range. If that performance level has been achieved by the contractor, the rater places the markings on the scale directly in the standard category shown on the performance report form.",,,,,,S
Standard Form Agreement (Bridge Inspection),Consultant Services Manual,A preapproved agreement format that contains a form number assigned by WSDOT forms management. Any revision to a standard form agreement will constitute a nonstandard agreement and will require further review (see nonstandard agreement).,,,,,nonstandard agreement,S
Standard Form Agreement (Bridge Inspection),Consultant Services Manual,A preapproved agreement format that contains a form number assigned by WSDOT forms management. Any revision to a standard form agreement will constitute a nonstandard agreement and will require further review (see nonstandard agreement).,,,,,Standard Form Agreement (Utilities),S
Standard Form Agreement (Utilities),Utilities Manual,"An agreement prepared using one of the preprinted standard forms available, containing language that complies with applicable state law and WSDOT policy. The agreement form is not to be revised, directly or indirectly, in any manner.",,,,,Standard Form Agreement (Bridge Inspection),S
Standard Plans (Highway Runoff),Highway Runoff Manual,"WSDOT Standard Plans for Road, Bridge, and Municipal Construction. Standardized design drawings for commonly used structures that can be referenced in contracts. The Headquarters Design Office maintains the Standard Plans.",,,,,Standard Plans (Standard Specs),S
Standard Plans (Standard Specs),Standard Specifications,A manual of specific plans or drawings adopted by the Contracting Agency which show frequently recurring components of Work that have been standardized for use,,,,,Standard Plans (Highway Runoff),S
Standard Specifications (Bridge Design),Bridge Inspection Manual,"The Standard Specifications is published biannually by the WSDOT Engineering Publications Office, is maintained by the WSDOT Construction Office, and is used as the governing construction specification for all WSDOT construction projects.",,,,,Standard Specifications (Highway Runoff),S
Standard Specifications (Bridge Design),Bridge Inspection Manual,"The Standard Specifications is published biannually by the WSDOT Engineering Publications Office, is maintained by the WSDOT Construction Office, and is used as the governing construction specification for all WSDOT construction projects.",,,,,Standard Specifications (Local Agency),S
Standard Specifications (Bridge Design),Bridge Inspection Manual,"The Standard Specifications is published biannually by the WSDOT Engineering Publications Office, is maintained by the WSDOT Construction Office, and is used as the governing construction specification for all WSDOT construction projects.",,,,,Standard Specifications (Utilities),S
